check,expected,found,missing,source
Interval AFT new corallites (time ratio + 95% CI bounds),1.32 | 1.19 | 1.47,TRUE,,14_interval_survreg.csv
Cox HR new corallites (HR + 95% CI bounds),0.22 | 0.07 | 0.69,TRUE,,14_cox_hazard_ratios.csv
Cox p new corallites,0.010,TRUE,,14_cox_hazard_ratios.csv
Areal calcification reduction % and means,38 | 7.62 | 4.75,TRUE,,buoyant_weight_clean.rds
PAM treatment x day F,111.7,TRUE,,12_anova_summary.csv
Color treatment x day F,287.6,TRUE,,12_anova_summary.csv
Symbiont treatment x day F,94.0,TRUE,,12_anova_summary.csv
PCA displacement genets a / d / c,3.72 | 3.34 | 1.06,TRUE,,15_genet_pca_displacement.csv
PCA variance PC1 (%),83,TRUE,,coral_physio_wide.rds (prcomp)
Acute ED50 mean (°C),35.4,TRUE,,26_thermal_context.csv
31 °C below mean ED50 (°C),4.4,TRUE,,26_thermal_context.csv
Closed-but-never-regenerated % (31C / 28C),67 | 0,TRUE,,14_milestone_lag_summary.csv
Genet x treatment LRT chi-sq (PAM / color / symbionts),78.1 | 149.8 | 64.3,TRUE,,13_genet_anova.csv
Color % paled (31C wounded / 31C unwounded / 28C unwounded),67 | 58 | 8,TRUE,,03_color_end_proportions.csv
Per-genet composite heat sensitivity (a / c / d),0.57 | 0.01 | 0.43,TRUE,,19_genet_resilience_summary.csv
