species,thicket ,id,sample,wound,tank,treatment,biopsy_day,biopsy_date,diameter,height,calculated_SA_caliper,dry_weight,wax_weight_1,wax_weight_2,wax_2_minus_wax_1 ,calculated_SA_standard_curve,notes
a. pulchra,a,111.0,gene ,no,3.0,28.0,1.0,2025-06-05 00:00:00,3.54,9.91,=(2*3.1415926535*((J2/2)*K2)/100),0.3474,0.4604,0.508,=O2-N2,=(5810*P2 +85.7)/100,skeleton split in two
a. pulchra,a,140.0,gene ,yes,6.0,28.0,1.0,2025-06-05 00:00:00,7.54,11.22,=(2*3.1415926535*((J3/2)*K3)/100),0.3601,0.5157,0.5663,=O3-N3,=(5810*P3 +85.7)/100
a. pulchra,a,148.0,gene ,no,9.0,28.0,1.0,2025-06-19 00:00:00,7.18,11.97,=(2*3.1415926535*((J4/2)*K4)/100),0.4026,0.5285,0.6026,=O4-N4,=(5810*P4 +85.7)/100
a. pulchra,a,151.0,gene ,no,12.0,28.0,1.0,2025-06-19 00:00:00,8.25,10.09,=(2*3.1415926535*((J5/2)*K5)/100),0.276,0.4073,0.4699,=O5-N5,=(5810*P5 +85.7)/100
a. pulchra,a,159.0,gene ,yes,9.0,28.0,1.0,2025-06-14 00:00:00,6.73,11.14,=(2*3.1415926535*((J6/2)*K6)/100),0.3634,0.4771,0.5302,=O6-N6,=(5810*P6 +85.7)/100
a. pulchra,a,164.0,gene ,yes,12.0,28.0,1.0,2025-06-19 00:00:00,8.03,11.09,=(2*3.1415926535*((J7/2)*K7)/100),0.5402,0.7156,0.8205,=O7-N7,=(5810*P7 +85.7)/100
a. pulchra,a,171.0,gene ,no,10.0,31.0,1.0,2025-06-19 00:00:00,6.61,9.27,=(2*3.1415926535*((J8/2)*K8)/100),0.2641,0.383,0.434,=O8-N8,=(5810*P8 +85.7)/100
a. pulchra,a,181.0,gene ,yes,11.0,31.0,1.0,2025-06-14 00:00:00,6.25,10.78,=(2*3.1415926535*((J9/2)*K9)/100),0.2454,0.3539,0.3973,=O9-N9,=(5810*P9 +85.7)/100
a. pulchra,a,182.0,gene ,no,4.0,31.0,1.0,2025-06-05 00:00:00,8.15,9.97,=(2*3.1415926535*((J10/2)*K10)/100),0.5145,0.5946,0.6621,=O10-N10,=(5810*P10 +85.7)/100
a. pulchra,a,183.0,gene ,yes,5.0,31.0,1.0,2025-06-05 00:00:00,7.48,11.16,=(2*3.1415926535*((J11/2)*K11)/100),0.3423,0.5032,0.5764,=O11-N11,=(5810*P11 +85.7)/100
a. pulchra,a,188.0,gene ,no,11.0,31.0,1.0,2025-06-07 00:00:00,8.68,11.19,=(2*3.1415926535*((J12/2)*K12)/100),0.4133,0.5818,0.6741,=O12-N12,=(5810*P12 +85.7)/100
