species,thicket ,id,sample,wound,tank,treatment,biopsy_day,biopsy_date,average,Coral ID,id,calculated_SA_standard_curve,slurry volume (mL)
a. pulchra,a,111.0,gene ,no,3.0,28.0,1.0,2025-06-05 00:00:00,43.0625,111.0,111.0,3.6226,10.0
a. pulchra,a,140.0,gene ,yes,6.0,28.0,1.0,2025-06-05 00:00:00,56.4375,140.0,140.0,3.7969,10.0
a. pulchra,a,148.0,gene ,no,9.0,28.0,1.0,2025-06-19 00:00:00,58.625,148.0,148.0,5.1622,10.0
a. pulchra,a,151.0,gene ,no,12.0,28.0,1.0,2025-06-19 00:00:00,50.8125,151.0,151.0,4.4941,10.0
a. pulchra,a,159.0,gene ,yes,9.0,28.0,1.0,2025-06-14 00:00:00,45.4375,159.0,159.0,3.9421,10.0
a. pulchra,a,164.0,gene ,yes,12.0,28.0,1.0,2025-06-19 00:00:00,103.25,164.0,164.0,6.9517,10.0
a. pulchra,a,192.0,gene ,no,6.0,28.0,1.0,2025-06-14 00:00:00,58.125,192.0,192.0,3.8782,10.0
a. pulchra,d,203.0,gene ,yes,3.0,28.0,1.0,2025-06-14 00:00:00,59.4375,203.0,203.0,5.0867,10.0
a. pulchra,a,209.0,gene ,yes,3.0,28.0,1.0,2025-06-07 00:00:00,24.3125,209.0,209.0,3.8666,10.0
a. pulchra,d,222.0,gene ,no,6.0,28.0,1.0,2025-06-07 00:00:00,36.0625,222.0,222.0,5.0286,10.0
a. pulchra,d,227.0,gene ,yes,9.0,28.0,1.0,2025-06-05 00:00:00,58.3125,227.0,227.0,5.1157,10.0
a. pulchra,d,231.0,gene ,yes,12.0,28.0,1.0,2025-06-05 00:00:00,40.3125,231.0,231.0,3.3146,10.0
a. pulchra,d,234.0,gene ,no,12.0,28.0,1.0,2025-06-05 00:00:00,71.5625,234.0,234.0,5.8652,10.0
a. pulchra,d,238.0,gene ,yes,6.0,28.0,1.0,2025-06-05 00:00:00,52.125,238.0,238.0,4.25,10.0
a. pulchra,d,246.0,gene ,no,3.0,28.0,1.0,2025-06-07 00:00:00,48.75,246.0,246.0,5.046,10.0
a. pulchra,d,257.0,gene ,no,9.0,28.0,1.0,2025-06-05 00:00:00,54.3125,257.0,257.0,4.343,10.0
a. pulchra,c,261.0,gene ,no,9.0,28.0,1.0,2025-06-05 00:00:00,54.0,261.0,261.0,5.1215,10.0
a. pulchra,c,268.0,gene ,yes,6.0,28.0,1.0,2025-06-05 00:00:00,62.125,268.0,268.0,4.1571,10.0
a. pulchra,c,280.0,gene ,no,6.0,28.0,1.0,2025-06-05 00:00:00,48.875,280.0,280.0,5.1506,10.0
a. pulchra,c,287.0,gene ,no,12.0,28.0,1.0,2025-06-05 00:00:00,49.375,287.0,287.0,4.6858,10.0
a. pulchra,c,288.0,gene ,yes,9.0,28.0,1.0,2025-06-05 00:00:00,37.5,288.0,288.0,4.2442,10.0
a. pulchra,c,294.0,gene ,yes,12.0,28.0,1.0,2025-06-05 00:00:00,48.9375,294.0,294.0,3.8608,10.0
a. pulchra,c,296.0,gene ,yes,3.0,28.0,1.0,2025-06-05 00:00:00,27.0,296.0,296.0,2.7046,10.0
a. pulchra,c,298.0,gene ,no,3.0,28.0,1.0,2025-06-05 00:00:00,62.9375,298.0,298.0,3.7969,10.0
a. pulchra,a,134.0,gene ,no,3.0,28.0,3.0,2025-06-07 00:00:00,42.5625,134.0,134.0,5.4818,10.0
a. pulchra,a,157.0,gene ,no,9.0,28.0,3.0,2025-06-19 00:00:00,37.75,157.0,157.0,5.5341,10.0
a. pulchra,a,160.0,gene ,yes,3.0,28.0,3.0,2025-06-05 00:00:00,29.9375,160.0,160.0,2.9777,10.0
a. pulchra,a,167.0,gene ,yes,12.0,28.0,3.0,2025-06-19 00:00:00,41.125,167.0,167.0,4.7323,10.0
a. pulchra,a,187.0,gene ,yes,9.0,28.0,3.0,2025-06-14 00:00:00,49.8125,187.0,187.0,5.2958,10.0
a. pulchra,a,190.0,gene ,no,12.0,28.0,3.0,2025-06-14 00:00:00,43.8125,190.0,190.0,3.1171,10.0
a. pulchra,a,194.0,gene ,no,6.0,28.0,3.0,2025-06-07 00:00:00,45.6875,194.0,194.0,3.6226,10.0
a. pulchra,d,201.0,gene ,no,12.0,28.0,3.0,2025-06-05 00:00:00,33.0,201.0,201.0,4.8601,10.0
a. pulchra,a,208.0,gene ,yes,6.0,28.0,3.0,2025-06-14 00:00:00,39.4375,208.0,208.0,3.425,10.0
a. pulchra,d,218.0,gene ,yes,9.0,28.0,3.0,2025-06-14 00:00:00,51.1875,218.0,218.0,6.0337,10.0
a. pulchra,d,220.0,gene ,no,6.0,28.0,3.0,2025-06-07 00:00:00,44.375,220.0,220.0,4.558,10.0
a. pulchra,d,223.0,gene ,yes,12.0,28.0,3.0,2025-06-05 00:00:00,45.375,223.0,223.0,3.9189,10.0
a. pulchra,d,229.0,gene ,no,9.0,28.0,3.0,2025-06-07 00:00:00,18.875,229.0,229.0,3.9712,10.0
a. pulchra,d,242.0,gene ,no,3.0,28.0,3.0,2025-06-07 00:00:00,44.4375,242.0,242.0,4.5812,10.5
a. pulchra,d,245.0,gene ,yes,6.0,28.0,3.0,2025-06-05 00:00:00,57.1875,245.0,245.0,5.0344,10.0
a. pulchra,d,247.0,gene ,yes,3.0,28.0,3.0,2025-06-14 00:00:00,36.375,247.0,247.0,4.5812,10.5
a. pulchra,c,250.0,gene ,yes,3.0,28.0,3.0,2025-06-14 00:00:00,47.8125,250.0,250.0,4.9589,10.0
a. pulchra,c,271.0,gene ,no,9.0,28.0,3.0,2025-06-07 00:00:00,72.0,271.0,271.0,6.0976,10.0
a. pulchra,c,272.0,gene ,yes,9.0,28.0,3.0,2025-06-07 00:00:00,44.875,272.0,272.0,4.9531,10.0
a. pulchra,c,273.0,gene ,no,12.0,28.0,3.0,2025-06-07 00:00:00,28.3125,273.0,273.0,5.6096,10.0
a. pulchra,c,281.0,gene ,no,6.0,28.0,3.0,2025-06-07 00:00:00,58.1875,281.0,281.0,5.3598,10.5
a. pulchra,c,282.0,gene ,yes,6.0,28.0,3.0,2025-06-07 00:00:00,47.6875,282.0,282.0,3.9886,10.0
a. pulchra,c,290.0,gene ,no,3.0,28.0,3.0,2025-06-07 00:00:00,44.5625,290.0,290.0,5.6096,10.5
a. pulchra,c,301.0,gene ,yes,12.0,28.0,3.0,2025-06-07 00:00:00,43.75,301.0,301.0,5.6851,10.0
a. pulchra,a,114.0,gene ,no,3.0,28.0,10.0,2025-06-14 00:00:00,26.0625,114.0,114.0,4.2268,11.0
